id,dataset,question,answer,chart_type,image_path,bboxes,original_file
matsa_55f1b098,MATSA,How much money did United spend for aircraft fuel in 2016?,"United spent $5,813 on aircraft fuel in 2016.",line,images/MATSA/matsa_55f1b098.png,"[{""x1"": 684.5454545454545, ""y1"": 2564.969948483114}]",MATSA_aitqa_0/input_ann_fixed.json
matsa_6898eb44,MATSA,How many gallons of fuel was consumed by United airlines in 2018 ?,"United Airlines consumed 4,137 gallons of fuel in 2018.",bar,images/MATSA/matsa_6898eb44.png,"[{""x1"": 600.0, ""y1"": 465.00000000000006, ""x2"": 4142.857142857142, ""y2"": 1065.0}]",MATSA_aitqa_1/input_ann_fixed.json
matsa_a3173aaa,MATSA,What was United's cost per ASM in 2017?,United's cost per Available Seat Mile (ASM) in 2017 was 13.00 cents.,line,images/MATSA/matsa_a3173aaa.png,"[{""x1"": 1572.272727272727, ""y1"": 2223.1395348837195}]",MATSA_aitqa_10/input_ann_fixed.json
matsa_35e59e7a,MATSA,what is the consolidated operating cost for every available seat mile in 2015?,The consolidated operating cost for every available seat mile in 2015 was 13.33 cents.,bar,images/MATSA/matsa_35e59e7a.png,"[{""x1"": 2178.181818181818, ""y1"": 827.9145728643217, ""x2"": 2741.8181818181815, ""y2"": 2670.0}]",MATSA_aitqa_100/input_ann_fixed.json
matsa_9b290ee3,MATSA,what is the consolidated revenue generated by Delta airlines in 2014 per available seat?,"In 2014, Delta Airlines generated a consolidated revenue of 16.84¢ per available seat.",bar,images/MATSA/matsa_9b290ee3.png,"[{""x1"": 2882.727272727273, ""y1"": 469.9999999999999, ""x2"": 3446.3636363636365, ""y2"": 2670.0}]",MATSA_aitqa_101/input_ann_fixed.json
matsa_5f8d259c,MATSA,How many fuel gallons were consumed by Delta airlines in 2017 ?,"Delta Airlines consumed 4,032 gallons of fuel in 2017.",bar,images/MATSA/matsa_5f8d259c.png,"[{""x1"": 600.0, ""y1"": 2215.0, ""x2"": 4142.857142857142, ""y2"": 2565.0}]",MATSA_aitqa_102/input_ann_fixed.json
matsa_0e91e3d0,MATSA,how much did the operating revenue from passengers increase for Delta airlines in 2017 compared to 2016?,"Delta Airlines' operating revenue from passengers increased by $1,042 million in 2017 compared to 2016.",bar,images/MATSA/matsa_0e91e3d0.png,"[{""x1"": 600.0, ""y1"": 2122.894736842105, ""x2"": 2900.0979083222073, ""y2"": 2565.0}]",MATSA_aitqa_103/input_ann_fixed.json
matsa_6139f5ee,MATSA,what is the total operating revenue of Delta airlines in 2017?,"Delta Airlines' total operating revenue in 2017 was $41,244.",bar,images/MATSA/matsa_6139f5ee.png,"[{""x1"": 600.0, ""y1"": 1631.6666666666665, ""x2"": 4142.857142857143, ""y2"": 2565.0}]",MATSA_aitqa_105/input_ann_fixed.json
matsa_025ee056,MATSA,by what value did the total operating revenue increase for Delta?,"The total operating revenue for Delta increased by $1,605.",bar,images/MATSA/matsa_025ee056.png,"[{""x1"": 384.0, ""y1"": 470.45454545454555, ""x2"": 4361.142857142857, ""y2"": 935.5263157894738}]",MATSA_aitqa_106/input_ann_fixed.json
matsa_61aeca82,MATSA,what was the total operating revenue for Delta airlines in 2017 ?,"The total operating revenue for Delta Airlines in 2017 was $41,244.",bar,images/MATSA/matsa_61aeca82.png,"[{""x1"": 600.0, ""y1"": 1631.6666666666665, ""x2"": 4142.857142857143, ""y2"": 2565.0}]",MATSA_aitqa_107/input_ann_fixed.json
matsa_cb50f8e5,MATSA,What was the total operating revenue for Delta airlines in 2016 ?,"The total operating revenue for Delta Airlines in 2016 was $39,639.",bar,images/MATSA/matsa_cb50f8e5.png,"[{""x1"": 3570.9473684210525, ""y1"": 475.71428571428544, ""x2"": 3970.564593301435, ""y2"": 2790.0}]",MATSA_aitqa_108/input_ann_fixed.json
matsa_e6cb9938,MATSA,What was total RPMs for United Airlines in the year 2018 ?,"United Airlines had a total of 230,155 revenue passenger miles (RPMs) in the year 2018.",bar,images/MATSA/matsa_e6cb9938.png,"[{""x1"": 769.090909090909, ""y1"": 470.00000000000017, ""x2"": 1332.7272727272725, ""y2"": 2670.0}]",MATSA_aitqa_11/input_ann_fixed.json
matsa_9f8459cb,MATSA,what was the increase in revenue from ancillary businesses and refinery of Delta airlines between 2016 to 2017?,The increase in revenue from ancillary businesses and refinery of Delta Airlines between 2016 to 2017 was $283 million.,bar,images/MATSA/matsa_9f8459cb.png,"[{""x1"": 1043.5891381345928, ""y1"": 1340.0000000000002, ""x2"": 4150.909090909091, ""y2"": 1690.0}]",MATSA_aitqa_111/input_ann_fixed.json
matsa_a259c6b3,MATSA,what was the percentage increase in revenue from baggage fees for Delta airlines in 2017 ?,The percentage increase in revenue from baggage fees for Delta Airlines in 2017 was 3.1%.,bar,images/MATSA/matsa_a259c6b3.png,"[{""x1"": 2882.727272727273, ""y1"": 1687.2222222222222, ""x2"": 3446.3636363636365, ""y2"": 1859.4444444444443}]",MATSA_aitqa_112/input_ann_fixed.json
matsa_915d18e2,MATSA,How much did the total revenue increase for Delta airlines in 2017 ?,The total revenue for Delta Airlines increased by $502 million in 2017.,bar,images/MATSA/matsa_915d18e2.png,"[{""x1"": 3846.545454545454, ""y1"": 470.45454545454555, ""x2"": 4370.181818181819, ""y2"": 2574.749870622736}]",MATSA_aitqa_113/input_ann_fixed.json
matsa_ec237cab,MATSA,What was the operating expense for Contracted services for Delta airlines in 2017 ?,"The operating expense for Contracted services for Delta Airlines in 2017 was $2,184.",bar,images/MATSA/matsa_ec237cab.png,"[{""x1"": 2647.8787878787875, ""y1"": 469.9999999999999, ""x2"": 4150.909090909091, ""y2"": 2670.0}]",MATSA_aitqa_114/input_ann_fixed.json
matsa_0f20db36,MATSA,"what was the average repurchase price for Delta Airline shares in 31st December, 2017?",The average repurchase price for Delta Airline shares on 31st December 2017 was $45.32.,line,images/MATSA/matsa_0f20db36.png,"[{""x1"": 2375.4545454545455, ""y1"": 1996.3915857605182}]",MATSA_aitqa_119/input_ann_fixed.json
matsa_9ec761a3,MATSA,How much quantity of fuel was consumed by United in the year of 2019?,"United consumed 4,292 units of fuel in the year 2019.",bar,images/MATSA/matsa_9ec761a3.png,"[{""x1"": 769.090909090909, ""y1"": 470.00000000000017, ""x2"": 1735.3246753246754, ""y2"": 2670.0}]",MATSA_aitqa_121/input_ann_fixed.json
matsa_b83cdfaa,MATSA,How many gallons of fuel were consumed by United airlines in the year 2018 ?,"United Airlines consumed 4,137 gallons of fuel in the year 2018.",bar,images/MATSA/matsa_b83cdfaa.png,"[{""x1"": 600.0, ""y1"": 1215.0, ""x2"": 4014.9114631873254, ""y2"": 1815.0}]",MATSA_aitqa_123/input_ann_fixed.json
matsa_12c9133f,MATSA,what was the average fuel price per gallon paid by United airlines in the year 2017 ?,"In 2017, United Airlines paid an average of $1.74 per gallon for fuel.",bar,images/MATSA/matsa_12c9133f.png,"[{""x1"": 600.0, ""y1"": 465.00000000000006, ""x2"": 3339.8095238095243, ""y2"": 1065.0}]",MATSA_aitqa_124/input_ann_fixed.json
matsa_a9efd336,MATSA,"For the year 2015, how much was the traffic for United airlines?","In 2015, United Airlines had a traffic of 208,611.",bar,images/MATSA/matsa_a9efd336.png,"[{""x1"": 3587.2727272727266, ""y1"": 752.6194852941176, ""x2"": 4150.909090909091, ""y2"": 2670.0}]",MATSA_aitqa_126/input_ann_fixed.json
matsa_45595056,MATSA,What was the capacity of United Airlines in 2019?,"The capacity of United Airlines in 2019 was 284,999.",bar,images/MATSA/matsa_45595056.png,"[{""x1"": 600.0, ""y1"": 465.00000000000006, ""x2"": 4142.857142857142, ""y2"": 815.0000000000005}]",MATSA_aitqa_127/input_ann_fixed.json
matsa_b930a6c0,MATSA,Get me the load factor of United in year 2018.,The load factor of United Airlines in the year 2018 was 83.6%.,bar,images/MATSA/matsa_b930a6c0.png,"[{""x1"": 1473.6363636363637, ""y1"": 480.4761904761908, ""x2"": 2037.272727272727, ""y2"": 2670.0}]",MATSA_aitqa_128/input_ann_fixed.json
matsa_bf3bcd28,MATSA,How much is the PRASM for United Airlines for the year 2018?,The passenger revenue per available seat mile (PRASM) for United Airlines for the year 2018 was 13.70 cents.,bar,images/MATSA/matsa_bf3bcd28.png,"[{""x1"": 600.0, ""y1"": 939.9999999999998, ""x2"": 4240.285714285714, ""y2"": 1260.0000000000002}]",MATSA_aitqa_129/input_ann_fixed.json
matsa_7a2f48c6,MATSA,What was average yield per RPM for United airlines in the year of 2015 ?,The average yield per RPM for United Airlines in the year 2015 was 15.72.,bar,images/MATSA/matsa_7a2f48c6.png,"[{""x1"": 2882.727272727273, ""y1"": 563.7880633373935, ""x2"": 3446.3636363636365, ""y2"": 2670.0}]",MATSA_aitqa_13/input_ann_fixed.json
matsa_cfb5740c,MATSA,What is the CASM for United in year 2016?,The CASM (Cost per Available Seat Mile) for United Airlines in the year 2016 was 12.70.,bar,images/MATSA/matsa_cfb5740c.png,"[{""x1"": 1473.6363636363637, ""y1"": 649.7541576283443, ""x2"": 2037.272727272727, ""y2"": 2670.0}]",MATSA_aitqa_130/input_ann_fixed.json
matsa_92afaa81,MATSA,"From year 2018 to 2019, how much did domestic passengers count increase for United Airlines?","From 2018 to 2019, the domestic passenger count for United Airlines increased by 2.1%.",line,images/MATSA/matsa_92afaa81.png,"[{""x1"": 553.5, ""y1"": 2620.0}]",MATSA_aitqa_132/input_ann_fixed.json
matsa_5f198791,MATSA,What was the percentage increase in average fare per passenger for domestic passengers of United airlines from year 2018 to 2019 ?,The percentage increase in average fare per passenger for domestic passengers of United Airlines from 2018 to 2019 was 3.4%.,bar,images/MATSA/matsa_5f198791.png,"[{""x1"": 769.090909090909, ""y1"": 995.3030303030305, ""x2"": 1332.7272727272725, ""y2"": 1716.5151515151513}]",MATSA_aitqa_133/input_ann_fixed.json
matsa_daf18686,MATSA,What was the percentage change in the salaries are related costs between 2018 and 2019 by United?,The percentage change in salaries and related costs between 2018 and 2019 by United was 5.3%.,line,images/MATSA/matsa_daf18686.png,"[{""x1"": 752.1818181818182, ""y1"": 608.5251798561151}]",MATSA_aitqa_136/input_ann_fixed.json
matsa_56f15a54,MATSA,how much did the united airlines spend in salary costs in 2019?,"In 2019, United Airlines spent $12,071 in salary costs.",bar,images/MATSA/matsa_56f15a54.png,"[{""x1"": 2666.666666666667, ""y1"": 630.6857142857143, ""x2"": 4320.0, ""y2"": 2700.0}]",MATSA_aitqa_139/input_ann_fixed.json
matsa_77abeccf,MATSA,How many passengers used United un year 2017?,"148,067 passengers used United in the year 2017.",bar,images/MATSA/matsa_77abeccf.png,"[{""x1"": 1473.6363636363637, ""y1"": 612.6046864144506, ""x2"": 2037.272727272727, ""y2"": 2670.0}]",MATSA_aitqa_14/input_ann_fixed.json
matsa_f123e851,MATSA,how much was the increase in distribution expenses of United airlines in 2019 from previous year ?,The increase in distribution expenses of United Airlines in 2019 from the previous year was $93 million.,line,images/MATSA/matsa_f123e851.png,"[{""x1"": 684.5454545454545, ""y1"": 464.6856287425147}]",MATSA_aitqa_140/input_ann_fixed.json
matsa_87f99c89,MATSA,what was the percentage rise in total operating expenses for United airlines from 2018 to 2019?,The percentage rise in total operating expenses for United Airlines from 2018 to 2019 was 2.3%.,bar,images/MATSA/matsa_87f99c89.png,"[{""x1"": 3900.40404040404, ""y1"": 762.1223021582734, ""x2"": 4150.909090909091, ""y2"": 877.9496402877699}]",MATSA_aitqa_142/input_ann_fixed.json
matsa_0b784d4d,MATSA,How much money was spend by United on salaries of employees for the year 2018?,"United spent $11,458 on employee salaries for the year 2018.",line,images/MATSA/matsa_0b784d4d.png,"[{""x1"": 2375.4545454545455, ""y1"": 1604.110619469028}]",MATSA_aitqa_143/input_ann_fixed.json
matsa_0eebe732,MATSA,What is the operating revenue on Cargo in the year 2019 for United?,"The operating revenue on Cargo for United in the year 2019 was $1,179 million.",line,images/MATSA/matsa_0eebe732.png,"[{""x1"": 684.5454545454545, ""y1"": 1454.3902439024398}]",MATSA_aitqa_146/input_ann_fixed.json
matsa_4978dba0,MATSA,what was the operating revenue of United Airlines for Cargo in 2018 ?,"The operating revenue of United Airlines for Cargo in 2018 was $1,237 million.",line,images/MATSA/matsa_4978dba0.png,"[{""x1"": 2375.4545454545455, ""y1"": 464.14634146341683}]",MATSA_aitqa_147/input_ann_fixed.json
matsa_46097f6d,MATSA,What was the salaries and related costs expense by United in year 2018?,"United's salaries and related costs expense in the year 2018 was $11,458.",bar,images/MATSA/matsa_46097f6d.png,"[{""x1"": 1976.8831168831166, ""y1"": 581.7223096677988, ""x2"": 2943.116883116883, ""y2"": 2670.0}]",MATSA_aitqa_148/input_ann_fixed.json
matsa_44464bfd,MATSA,What was the operating expense incurred due to aircraft rent by United in year 2019?,United incurred an operating expense of $288 million due to aircraft rent in the year 2019.,line,images/MATSA/matsa_44464bfd.png,"[{""x1"": 478.90909090909093, ""y1"": 2679.213759213759}]",MATSA_aitqa_149/input_ann_fixed.json
matsa_1df7e635,MATSA,what is the Net income in the year 2019 by United?,"United's net income in the year 2019 was $3,009.",bar,images/MATSA/matsa_1df7e635.png,"[{""x1"": 600.0, ""y1"": 1965.0, ""x2"": 4142.857142857143, ""y2"": 2565.0}]",MATSA_aitqa_151/input_ann_fixed.json
matsa_f9ce787f,MATSA,what was the basic earnings per share for United Airlines in Q1'19 ?,The basic earnings per share for United Airlines in Q1'19 was $1.09.,bar,images/MATSA/matsa_f9ce787f.png,"[{""x1"": 848.0, ""y1"": 2118.6666666666665, ""x2"": 1178.6666666666667, ""y2"": 2700.0}]",MATSA_aitqa_154/input_ann_fixed.json
matsa_a695ed84,MATSA,what was the 2018 net income in March quarter for united airlines?,The net income for United Airlines in the March quarter of 2018 was $145 million.,line,images/MATSA/matsa_a695ed84.png,"[{""x1"": 712.7272727272727, ""y1"": 2564.8842337375963}]",MATSA_aitqa_155/input_ann_fixed.json
matsa_c36d7103,MATSA,how much was the diluted earning per share for United Airlines in Q3 2018 ?,The diluted earnings per share for United Airlines in Q3 2018 was 3.05.,bar,images/MATSA/matsa_c36d7103.png,"[{""x1"": 2548.995215311005, ""y1"": 469.9999999999999, ""x2"": 3260.956937799043, ""y2"": 2670.0}]",MATSA_aitqa_156/input_ann_fixed.json
matsa_a034d6c7,MATSA,What is the total aircraft numbers owned by SouthWest in 2018?,"In 2018, SouthWest owned a total of 627 aircraft.",line,images/MATSA/matsa_a034d6c7.png,"[{""x1"": 4094.545454545455, ""y1"": 464.85396383866504}]",MATSA_aitqa_159/input_ann_fixed.json
matsa_08b93f02,MATSA,How much did United Airlines' revenue passenger miles change between 2017 and 2018?,United Airlines' revenue passenger miles changed by 6.4% between 2017 and 2018.,bar,images/MATSA/matsa_08b93f02.png,"[{""x1"": 600.0, ""y1"": 465.00000000000006, ""x2"": 2473.907910271547, ""y2"": 815.0000000000005}]",MATSA_aitqa_16/input_ann_fixed.json
matsa_3d0e6516,MATSA,how many aircrafts did Southwest Airlines lease in 2018 ?,Southwest Airlines leased 123 aircrafts in 2018.,bar,images/MATSA/matsa_3d0e6516.png,"[{""x1"": 600.0, ""y1"": 686.0526315789475, ""x2"": 4142.857142857142, ""y2"": 907.1052631578946}]",MATSA_aitqa_160/input_ann_fixed.json
matsa_edb88e2b,MATSA,"As of February 2019, How old was the CEO of Southwest Airlines?","As of February 2019, the CEO of Southwest Airlines was 63 years old.",bar,images/MATSA/matsa_edb88e2b.png,"[{""x1"": 600.0, ""y1"": 2349.6153846153848, ""x2"": 4142.857142857142, ""y2"": 2565.0}]",MATSA_aitqa_161/input_ann_fixed.json
matsa_32820a37,MATSA,How much was the traffic for Southwest Airlines for year 2014?,"The traffic for Southwest Airlines for the year 2014 was 108,035,133 passengers.",bar,images/MATSA/matsa_32820a37.png,"[{""x1"": 3587.2727272727266, ""y1"": 887.2730789972288, ""x2"": 4150.909090909091, ""y2"": 2670.0}]",MATSA_aitqa_167/input_ann_fixed.json
matsa_44f5ff73,MATSA,What was the ASM of Southwest in year 2016?,"The ASM of Southwest in 2016 was 148,522,051.",bar,images/MATSA/matsa_44f5ff73.png,"[{""x1"": 2178.181818181818, ""y1"": 625.2038590306931, ""x2"": 2741.8181818181815, ""y2"": 2670.0}]",MATSA_aitqa_168/input_ann_fixed.json
matsa_a4ffd8c1,MATSA,How much was the capacity of Southwest Airlines in year 2015?,"In 2015, the capacity of Southwest Airlines was 140,501,409.",line,images/MATSA/matsa_a4ffd8c1.png,"[{""x1"": 3263.1818181818185, ""y1"": 1872.265689657352}]",MATSA_aitqa_169/input_ann_fixed.json
matsa_bf6decc2,MATSA,What percentage increase was there in United's total traffic from 2017 to 2018?,United's total traffic increased by 6.4% from 2017 to 2018.,bar,images/MATSA/matsa_bf6decc2.png,"[{""x1"": 600.0, ""y1"": 465.00000000000006, ""x2"": 2473.907910271547, ""y2"": 815.0000000000005}]",MATSA_aitqa_17/input_ann_fixed.json
